15
A, -36.81147746603303, -73.05080609829926
B, -36.81587980984066, -73.03364380321833
C, -36.81716060747101, -73.03755230367483
D, -36.82242065616115, -73.03499406044997
E, -36.823930136259214, -73.04004549872715
F, -36.82493402553982, -73.03795331793138
G, -36.8278279710662, -73.04237335686568
H, -36.83018611861183, -73.04406684879736
I, -36.826636484256, -73.0466836087466
J, -36.83446778672864, -73.04961143885039
K, -36.821903484187985, -73.05210203058212
L, -36.830829368688235, -73.05514723066648
M, -36.83049026970327, -73.05544364574045
N, -36.82115078472641, -73.06241989964323
O, -36.805836872402885, -73.04369466880934
