15
A, -36.82912895926494, -73.05439255890045
B, -36.826833326337606, -73.05254618522244
C, -36.82535752119131, -73.05122626373927
D, -36.82466992043691, -73.05059772969966
E, -36.82413325214032, -73.04996919566004
F, -36.82346241147669, -73.04978063544814
G, -36.82473700370933, -73.04663796525011
H, -36.823345013755926, -73.04389336661048
I, -36.81915211993738, -73.03681188309754
J, -36.82562585151692, -73.03922126358272
K, -36.82693394837921, -73.04584182213327
L, -36.82663208185742, -73.04613513801843
M, -36.82616250934523, -73.04883783438875
N, -36.825659392741464, -73.04921495481251
O, -36.82869481268693, -73.05038821835312
