10
Parque Laguna Redonda, -36.81397229001658, -73.06725762004565
Virgen Puente Llacolen, -36.833768325309556, -73.07778922055515
Mirador Aleman, -36.84343699448942, -73.03836013378145
Parque Zoologico Concepcion, -36.840091000043984, -73.00707025519729
Museo de Historia Natural, -36.81542227505412, -73.03033968268241
Laguna los patos, -36.82797657018453, -73.03606956008127
Cascada Parque Ecuador, -36.83428414763334, -73.04719807836555
Parque Bicentenario, -36.831601177995864, -73.06269003514849
Galeria de la historia, -36.833829210606716, -73.05006177456777
Estatua de Condorito, -36.8278832304542, -73.05113906613165
